longitude,latitude,z_seafloor_datum,z_water_surf,z_gps_datum
-70.637246838,41.347688935,-3.08128223129588,-2.82678223129588,-0.1545
-70.637244052,41.347691183,-3.06699776153418,-2.78569776153418,-0.1813
-70.637241425,41.347693705,-3.05681329177247,-2.74461329177247,-0.2122
-70.637238586,41.34769623,-3.05202882201077,-2.70352882201077,-0.2485
-70.637236563,41.347698884,-3.00104435224907,-2.66244435224907,-0.2386
-70.63723482,41.347701917,-2.97075988248736,-2.62135988248736,-0.2494
-70.637233281,41.347704967,-2.98128054491631,-2.59648054491631,-0.2848
-70.637232139,41.347708245,-3.01016152414049,-2.62536152414049,-0.2848
-70.637231267,41.347711675,-3.05334250336467,-2.65424250336467,-0.2991
-70.63723014,41.347715189,-3.05341524087831,-2.64951524087831,-0.3039
-70.637228705,41.347718683,-3.00317091690628,-2.62077091690628,-0.2824
-70.63722704,41.347722271,-2.95962659293425,-2.59202659293425,-0.2676
-70.637224841,41.347725808,-2.95865578285211,-2.57785578285211,-0.2808
-70.637222303,41.347729215,-2.99389088924488,-2.60229088924488,-0.2916
-70.637219633,41.347732653,-3.03312599563765,-2.62672599563765,-0.3064
-70.637216672,41.347735962,-3.06546110203042,-2.65116110203042,-0.3143
-70.637213507,41.347739066,-3.05329620842319,-2.67559620842319,-0.2777
-70.637210071,41.347742226,-3.06293131481596,-2.70003131481596,-0.2629
-70.637206904,41.347745442,-3.09176642120873,-2.72446642120873,-0.2673
-70.637204309,41.347748806,-3.0668015276015,-2.7489015276015,-0.2179
-70.637201793,41.347752312,-3.03603663399427,-2.77333663399427,-0.1627
-70.637198981,41.347755756,-3.04157174038704,-2.79777174038704,-0.1438
-70.637195994,41.347759007,-3.05246798495138,-2.81666798495138,-0.1358
-70.637193115,41.347762248,-2.98493658766112,-2.79523658766112,-0.0897
-70.637190232,41.347765667,-2.91516325532384,-2.72206325532384,-0.0931
-70.637187183,41.347768836,-2.93763277006337,-2.71473277006337,-0.1229
-70.637183875,41.347771801,-2.9291022848029,-2.7074022848029,-0.1217
-70.6371805,41.347774739,-2.92550620146059,-2.72160620146059,-0.1039
-70.637177506,41.347777757,-2.94813462023395,-2.74973462023395,-0.0984
-70.637174656,41.347780696,-2.97636303900732,-2.77786303900732,-0.0985
-70.63717156,41.347783467,-2.98995642686351,-2.79635642686351,-0.0936
-70.637168275,41.347786179,-2.97788924822309,-2.77398924822309,-0.1039
-70.63716538,41.34778905,-2.97562206958267,-2.75162206958267,-0.124
-70.637162756,41.347791975,-2.98845489094225,-2.72925489094225,-0.1592
-70.637160106,41.347794656,-2.96659853602165,-2.71959853602165,-0.147
-70.637157092,41.347797411,-2.94411443581502,-2.71371443581502,-0.1304
-70.637154422,41.347800321,-2.95803033560839,-2.70783033560839,-0.1502
-70.637152304,41.347803397,-2.95512364655111,-2.70452364655111,-0.1506
-70.637150309,41.347806587,-2.93472364655111,-2.70452364655111,-0.1302
-70.637148152,41.3478099,-2.95392364655111,-2.70452364655111,-0.1494
-70.637145557,41.347812886,-2.95611520310939,-2.70561520310939,-0.1505
-70.637142905,41.347815846,-2.92648422169805,-2.71438422169805,-0.1121
-70.637140321,41.34781894,-2.9357532402867,-2.7231532402867,-0.1126
-70.637137772,41.347821948,-2.92762225887535,-2.73192225887535,-0.0957
-70.637135238,41.347824965,-2.87709127746401,-2.74069127746401,-0.0364
-70.637132641,41.347828187,-2.86746029605266,-2.74946029605266,-0.018
-70.637130347,41.347831483,-2.87682931464132,-2.75822931464132,-0.0186
-70.637128401,41.347834801,-2.82128015827796,-2.76238015827796,0.0411
-70.637126348,41.347838243,-2.75688015827796,-2.76238015827796,0.1055
-70.637124045,41.34784159,-2.75118015827796,-2.76238015827796,0.1112
-70.637121514,41.347844737,NaN,NaN,0.1221
-70.637119203,41.347847878,NaN,NaN,0.1707
-70.637117184,41.347851199,NaN,NaN,0.2242
-70.637115004,41.347854607,NaN,NaN,0.2288
-70.637112482,41.347857623,NaN,NaN,0.2277
-70.637109902,41.347860497,NaN,NaN,0.2428
